,text,created_at,row_nbr,source account,polarity_scores,pos,neg,neu,compound
11,Leo Varadkar rejects 'goods only' Brexit deal https://t.co/AbK90Fmk5Q,Fri Jun 29 16:31:47 +0000 2018,11,@BBCWorld,"{'neg': 0.314, 'neu': 0.686, 'pos': 0.0, 'compound': -0.4939}",0.0,0.314,0.686,-0.4939
12,Migrant crisis: EU leaders split on new migrant deal https://t.co/eWVMKMmgCY,Fri Jun 29 16:21:11 +0000 2018,12,@BBCWorld,"{'neg': 0.313, 'neu': 0.687, 'pos': 0.0, 'compound': -0.6249}",0.0,0.313,0.687,-0.6249
13,Newspaper shooting suspect 'barricaded exit' https://t.co/j890i7N381,Fri Jun 29 16:14:48 +0000 2018,13,@BBCWorld,"{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.296}",0.0,0.306,0.694,-0.296
14,'Abacha loot' to be given to poor Nigerians https://t.co/bnB8NgJ4Zj,Fri Jun 29 15:44:02 +0000 2018,14,@BBCWorld,"{'neg': 0.279, 'neu': 0.721, 'pos': 0.0, 'compound': -0.4767}",0.0,0.279,0.721,-0.4767
15,😞 https://t.co/Og4YuJNhiD,Fri Jun 29 15:05:15 +0000 2018,15,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
16,Ken Isaacs: UN migration agency rejects Trump nominee https://t.co/S0KvvUkv30,Fri Jun 29 14:58:28 +0000 2018,16,@BBCWorld,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.4939}",0.0,0.286,0.714,-0.4939
17,"Saudi rapper Leesa A celebrates end of country's ban on women driving in music video

https://t.co/TPv1zwlBTN https://t.co/Ws2iM1UsYx",Fri Jun 29 14:52:34 +0000 2018,17,@BBCWorld,"{'neg': 0.169, 'neu': 0.657, 'pos': 0.174, 'compound': 0.0258}",0.174,0.169,0.657,0.0258
18,What went wrong for Africa at the World Cup? https://t.co/8W3DJbI4vh,Fri Jun 29 14:45:34 +0000 2018,18,@BBCWorld,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.4767}",0.0,0.256,0.744,-0.4767
19,15 abortions performed in Ireland in 2017 https://t.co/3ySsXXH7iS,Fri Jun 29 14:38:03 +0000 2018,19,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
20,Saudi rapper releases driving music video https://t.co/5kC2XyYptR,Fri Jun 29 13:37:35 +0000 2018,20,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
21,"RT @BBCNews: ""We need quick progress"" on #Brexit @eucopresident says https://t.co/T4ck1V5MXp #eusummit https://t.co/2nhJrRjhCz",Fri Jun 29 13:24:04 +0000 2018,21,@BBCWorld,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.4215}",0.189,0.0,0.811,0.4215
22,Irish cervical check scandal: Mother settles case for €7.5m https://t.co/KHdHjSdH8p,Fri Jun 29 13:15:48 +0000 2018,22,@BBCWorld,"{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.4404}",0.0,0.244,0.756,-0.4404
23,Migrant separations: Susan Sarandon arrested at protest rally https://t.co/fX0cdiUrk0,Fri Jun 29 12:40:20 +0000 2018,23,@BBCWorld,"{'neg': 0.421, 'neu': 0.579, 'pos': 0.0, 'compound': -0.6249}",0.0,0.421,0.579,-0.6249
24,Wisconsin man injured after upskirting shoe camera explodes https://t.co/gKRGbdC4BC,Fri Jun 29 12:27:39 +0000 2018,24,@BBCWorld,"{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.4019}",0.0,0.252,0.748,-0.4019
25,European press says migrant deal 'fragile' https://t.co/c0dACB5R9d,Fri Jun 29 12:20:07 +0000 2018,25,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
26,"""It's the right move for him""

David Beckham on @WayneRooney's move to play ⚽ in the US 

https://t.co/gzXWc0wVk3 https://t.co/3Wrgo2tN1d",Fri Jun 29 10:59:57 +0000 2018,26,@BBCWorld,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.34}",0.124,0.0,0.876,0.34
27,Iraq executes 12 for terrorism after IS captives found dead https://t.co/4ZbBibnBXu,Fri Jun 29 10:56:29 +0000 2018,27,@BBCWorld,"{'neg': 0.497, 'neu': 0.503, 'pos': 0.0, 'compound': -0.872}",0.0,0.497,0.503,-0.872
28,Europe migrant crisis: Gruelling EU match ends in a draw https://t.co/QpIw4SEOds,Fri Jun 29 10:02:47 +0000 2018,28,@BBCWorld,"{'neg': 0.313, 'neu': 0.687, 'pos': 0.0, 'compound': -0.6249}",0.0,0.313,0.687,-0.6249
29,"""Unique. Different. Shocking. Ugly. Beautiful?""

@hadjisophia is a model challenging beauty stereotypes… https://t.co/7UkAvss0Bg",Fri Jun 29 09:17:12 +0000 2018,29,@BBCWorld,"{'neg': 0.309, 'neu': 0.412, 'pos': 0.278, 'compound': -0.1531}",0.278,0.309,0.412,-0.1531
30,RT @BBCNews: 🤣 https://t.co/zZogLw0TYZ,Fri Jun 29 09:01:42 +0000 2018,30,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
31,"""She's speeding and I'm on top of the car"" 😲

https://t.co/xFuC8Z81LJ https://t.co/oEljytQm5s",Fri Jun 29 08:40:39 +0000 2018,31,@BBCWorld,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.2023}",0.153,0.0,0.847,0.2023
32,RT @bbcworldservice: How a farting unicorn has come between @elonmusk and the artist who painted it. 🦄 📻 https://t.co/at2pyVZn90 https://t.…,Fri Jun 29 07:46:55 +0000 2018,32,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
33,Maryland shooting: Gazette staff publish Friday edition https://t.co/BRHVhJFzuC,Fri Jun 29 07:20:20 +0000 2018,33,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
34,Mexican and South Korean celebrations sourced by racist gestures https://t.co/OgXzhXC8tE,Fri Jun 29 06:19:06 +0000 2018,34,@BBCWorld,"{'neg': 0.308, 'neu': 0.692, 'pos': 0.0, 'compound': -0.6124}",0.0,0.308,0.692,-0.6124
35,"RT @BBCSport: And here it is, your #WorldCup last-16 draw in full...

30th June: 
3pm: #FRA v #ARG
7pm: #URU v #POR 

1st July:
3pm: #ESP v…",Fri Jun 29 06:13:09 +0000 2018,35,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
36,Migrant crisis: EU summit leaders reach migration deal after marathon talks https://t.co/9PI6CwJPun,Fri Jun 29 04:07:46 +0000 2018,36,@BBCWorld,"{'neg': 0.27, 'neu': 0.658, 'pos': 0.072, 'compound': -0.6124}",0.072,0.27,0.658,-0.6124
37,'Come home': Thailand clings to hope for boys trapped in cave https://t.co/Om1qk1z5lg,Fri Jun 29 04:00:29 +0000 2018,37,@BBCWorld,"{'neg': 0.209, 'neu': 0.613, 'pos': 0.178, 'compound': -0.128}",0.178,0.209,0.613,-0.128
38,RT @bbcdavideades: Is this fair play? Japan qualified for the next round of the World Cup because they had fewer yellow cards for foul play…,Fri Jun 29 03:37:54 +0000 2018,38,@BBCWorld,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.6155}",0.179,0.0,0.821,0.6155
39,Nigeria fuel truck blaze kills at least nine https://t.co/znOJyhbIC4,Fri Jun 29 03:06:53 +0000 2018,39,@BBCWorld,"{'neg': 0.304, 'neu': 0.696, 'pos': 0.0, 'compound': -0.5423}",0.0,0.304,0.696,-0.5423
40,Australia wins landmark case on cigarette plain packaging https://t.co/TeaTcQOh35,Fri Jun 29 01:35:59 +0000 2018,40,@BBCWorld,"{'neg': 0.0, 'neu': 0.583, 'pos': 0.417, 'compound': 0.6124}",0.417,0.0,0.583,0.6124
41,'Treated like dogs': Italy's Roma minority on society's fringe https://t.co/vcD57yX2Vt,Fri Jun 29 00:40:19 +0000 2018,41,@BBCWorld,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}",0.217,0.0,0.783,0.3612
42,"Terrace House: Japan's nice, calm Love Island alternative https://t.co/VbfdD7ncI7",Fri Jun 29 00:27:10 +0000 2018,42,@BBCWorld,"{'neg': 0.0, 'neu': 0.392, 'pos': 0.608, 'compound': 0.8519}",0.608,0.0,0.392,0.8519
43,Africa's week in pictures: 22-28 June 2018 https://t.co/jRuGkbD5oP,Fri Jun 29 00:10:52 +0000 2018,43,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
44,Annapolis shooting: How journalists tweeted their ordeal https://t.co/W6ScEGVSB6,Thu Jun 28 22:49:29 +0000 2018,44,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
45,"RT @BBCBreaking: Several people dead in shooting at newspaper building in US city of Annapolis in Maryland, officials confirm https://t.co/…",Thu Jun 28 20:44:06 +0000 2018,45,@BBCWorld,"{'neg': 0.185, 'neu': 0.815, 'pos': 0.0, 'compound': -0.6486}",0.0,0.185,0.815,-0.6486
46,"RT @BBCSport: FT: #PAN 1-2 #TUN

33' ⚽ Yassine Meriah (OG)
51' ⚽ Ben Youssef
66' ⚽ Khazri

Tunisia come from behind to take third place in…",Thu Jun 28 19:59:36 +0000 2018,46,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
47,"RT @BBCSport: And here it is, your #WorldCup last-16 draw in full...

30th June: 
3pm: #FRA v #ARG
7pm: #URU v #POR 

1st July:
3pm: #ESP v…",Thu Jun 28 19:50:59 +0000 2018,47,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
48,"RT @BBCSport: FT: #ENG 0-1 #BEL 

Adnan Januzaj's goal means England finish second in the group.

Reaction: https://t.co/2nqcGRunPa 

#Worl…",Thu Jun 28 19:50:37 +0000 2018,48,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
49,Police confirm 'shooting incident' at Maryland newspaper office https://t.co/Q1EiArPbPP,Thu Jun 28 19:43:43 +0000 2018,49,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
50,Women fear abortion rights under threat https://t.co/t1YfZwmiE7,Thu Jun 28 18:57:43 +0000 2018,50,@BBCWorld,"{'neg': 0.569, 'neu': 0.431, 'pos': 0.0, 'compound': -0.765}",0.0,0.569,0.431,-0.765
51,Charlottesville car attack suspect charged with hate crime https://t.co/ROd3zhcLnL,Thu Jun 28 16:42:58 +0000 2018,51,@BBCWorld,"{'neg': 0.781, 'neu': 0.219, 'pos': 0.0, 'compound': -0.9231}",0.0,0.781,0.219,-0.9231
52,In pictures: Despair as Senegal crash out of World Cup https://t.co/ckvsnJJHL9,Thu Jun 28 16:21:29 +0000 2018,52,@BBCWorld,"{'neg': 0.357, 'neu': 0.643, 'pos': 0.0, 'compound': -0.6124}",0.0,0.357,0.643,-0.6124
53,Reality Check: Which countries have military service? https://t.co/wcT7v2ZI0q,Thu Jun 28 16:06:48 +0000 2018,53,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
54,"RT @BBCAfrica: For months now, horrific images have been pouring out of Cameroon on social media. Killings. Torture. Villages on fire.

#BB…",Thu Jun 28 16:03:03 +0000 2018,54,@BBCWorld,"{'neg': 0.458, 'neu': 0.542, 'pos': 0.0, 'compound': -0.9451}",0.0,0.458,0.542,-0.9451
55,"RT @BBCAfrica: FT  #SEN 0-1 #COL

Heartbreak for Africa :( 

The continent's last hope is out of the #WorldCup

https://t.co/GGv9T2q7zj

#B…",Thu Jun 28 15:56:37 +0000 2018,55,@BBCWorld,"{'neg': 0.24, 'neu': 0.655, 'pos': 0.105, 'compound': -0.5719}",0.105,0.24,0.655,-0.5719
56,"RT @BBC_HaveYourSay: 🦄☕️🚗🌈🤔
https://t.co/RfEUfsup7c",Thu Jun 28 15:26:28 +0000 2018,56,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
57,"RT @BBCSport: GOAL!

Jan Bednarek slots in the opener and suddenly, as it stands, Japan are going out! 

#JPN 0-1 #POL 

Live: https://t.co…",Thu Jun 28 15:23:00 +0000 2018,57,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
58,Banning the Uluru climb: 'This rock means everything to us' https://t.co/pg9bZZ4Tch,Thu Jun 28 15:16:20 +0000 2018,58,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
59,"RT @BBCSport: HT: #SEN 0-0 #COL 

No goals yet with Davinson Sanchez's tackle on Sadio Mane inside the penalty area the main talking point…",Thu Jun 28 14:49:50 +0000 2018,59,@BBCWorld,"{'neg': 0.191, 'neu': 0.809, 'pos': 0.0, 'compound': -0.6369}",0.0,0.191,0.809,-0.6369
60,"RT @BBCSport: HT: #JPN 0-0 #POL 

Poland came closest with a header - other than that, not much has happened, which suits Japan for now!

L…",Thu Jun 28 14:48:42 +0000 2018,60,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
61,"RT @BBCNews: Belgium PM @CharlesMichel presents UK PM @theresa_may with Belgian football shirt ahead of #ENGBEL #WorldCup 

https://t.co/cn…",Thu Jun 28 14:18:11 +0000 2018,61,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
62,Syria war: Air strike on Deraa shelter kills 17 civilians https://t.co/9rygwWkJis,Thu Jun 28 14:07:47 +0000 2018,62,@BBCWorld,"{'neg': 0.527, 'neu': 0.473, 'pos': 0.0, 'compound': -0.836}",0.0,0.527,0.473,-0.836
63,Farmer finds prehistoric gold artefacts in Donegal. https://t.co/Ws3NMT0eOA,Thu Jun 28 14:02:58 +0000 2018,63,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
64,"RT @BBCSport: #JPNPOL is underway! ⚽

The pressure is off Poland, so will they finish with a flourish?

Or will Japan hold onto top spot?…",Thu Jun 28 14:02:47 +0000 2018,64,@BBCWorld,"{'neg': 0.111, 'neu': 0.819, 'pos': 0.07, 'compound': -0.2621}",0.07,0.111,0.819,-0.2621
65,"RT @BBCSport: KICK-OFF!

#SEN v #COL is underway with both teams potential opponents for #ENG in the last-16 of the #WorldCup

Follow the a…",Thu Jun 28 14:02:23 +0000 2018,65,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
66,RT @BBCNews: ⚽ #ENGBEL https://t.co/vDqRXYrpYT,Thu Jun 28 14:01:51 +0000 2018,66,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
67,Irish PM will not prepare for hard border ahead of Brexit https://t.co/2zQipHAHFr,Thu Jun 28 13:55:13 +0000 2018,67,@BBCWorld,"{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.0762}",0.105,0.0,0.895,0.0762
68,"""I want to see myself among the great artists in museums""

The 10-year-old inspired by Michelangelo and Arinze Stan… https://t.co/MeI3Ch7XSE",Thu Jun 28 13:49:04 +0000 2018,68,@BBCWorld,"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.8225}",0.336,0.0,0.664,0.8225
69,China caps film stars' pay over 'money worship and tax evasion' https://t.co/rTMRIx7Xta,Thu Jun 28 13:34:46 +0000 2018,69,@BBCWorld,"{'neg': 0.103, 'neu': 0.735, 'pos': 0.162, 'compound': 0.2023}",0.162,0.103,0.735,0.2023
70,Shujhaat Bukhari: Pakistan militants blamed for journalist death https://t.co/3VJhJVqbC0,Thu Jun 28 13:24:45 +0000 2018,70,@BBCWorld,"{'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.7906}",0.0,0.5,0.5,-0.7906
71,"RT @BBCNews: UK PM @theresa_may tells @bbclaurak she's committed to ""faster pace"" of #Brexit talks

https://t.co/TIntoo0Ak9 https://t.co/gb…",Thu Jun 28 13:21:09 +0000 2018,71,@BBCWorld,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.2732}",0.116,0.0,0.884,0.2732
72,RT @BBCNews: Have you heard of the Wood Wide Web? 🌳🌲 https://t.co/M339vcAToY,Thu Jun 28 13:09:09 +0000 2018,72,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
73,"RT @BBCSteveR: It’s Helsinki. Again.
1975 Ford-Brezhnev
1990 Bush-Gorbachev
1997 Clinton-Yeltsin
2018 Trump-Putin (July 16)",Thu Jun 28 12:41:17 +0000 2018,73,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
74,"RT @BBCNews: Is the EU punishing the UK? 🇪🇺🇬🇧

@BBCkatyaadler looks at whether it's in the EU's interest to stick the boot in on the UK in…",Thu Jun 28 12:30:44 +0000 2018,74,@BBCWorld,"{'neg': 0.114, 'neu': 0.791, 'pos': 0.095, 'compound': -0.1531}",0.095,0.114,0.791,-0.1531
75,"Why is this footage of US President Franklin D Roosevelt walking unusual?

https://t.co/qbMHEbEHlh https://t.co/3qPsfthsy3",Thu Jun 28 12:04:19 +0000 2018,75,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
76,"RT @BBCNewsbeat: Paris Jackson has paid tribute to grandfather Joe, who masterminded the career of her dad, Michael Jackson.

But who was J…",Thu Jun 28 11:44:08 +0000 2018,76,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
77,Edward Heath 'not on island' for claimed abuse https://t.co/EghBK65iu5,Thu Jun 28 11:33:15 +0000 2018,77,@BBCWorld,"{'neg': 0.344, 'neu': 0.656, 'pos': 0.0, 'compound': -0.6369}",0.0,0.344,0.656,-0.6369
78,RT @BBC_HaveYourSay: In the wake of the #SWE victory over #MEX Swedes using the hashtag #WeAreSweden rejected the racism which had followed…,Thu Jun 28 11:24:37 +0000 2018,78,@BBCWorld,"{'neg': 0.27, 'neu': 0.73, 'pos': 0.0, 'compound': -0.8126}",0.0,0.27,0.73,-0.8126
79,Amsterdam chooses first woman mayor Halsema https://t.co/uirdphX4SC,Thu Jun 28 11:03:03 +0000 2018,79,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
80,Benghazi attack: Libyan militant jailed for 22 years in US https://t.co/1AJcn4ly3L,Thu Jun 28 10:55:30 +0000 2018,80,@BBCWorld,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.743}",0.0,0.412,0.588,-0.743
81,"French boy, 12, makes record English Channel crossing https://t.co/vKUWoVSPJl",Thu Jun 28 10:52:52 +0000 2018,81,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
82,The rise of Senegal's World Cup coach Aliou Cissé https://t.co/P0SiCZLLOM,Thu Jun 28 10:50:26 +0000 2018,82,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
83,"RT @BBCSport: It was a disastrous night for #GER... so where do they go from here? 🤔

We've taken a look at what's next for Joachim Low's s…",Thu Jun 28 10:47:11 +0000 2018,83,@BBCWorld,"{'neg': 0.14, 'neu': 0.86, 'pos': 0.0, 'compound': -0.5994}",0.0,0.14,0.86,-0.5994
84,Ducklings orphaned after driver which hit them 'did not slow down' https://t.co/UNyUajw3Rb,Thu Jun 28 10:31:59 +0000 2018,84,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
85,The pangolin is the most trafficked animal in the world — now fingerprint tech could help catch the poachers… https://t.co/q6KHXDMpMp,Thu Jun 28 10:19:45 +0000 2018,85,@BBCWorld,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4019}",0.13,0.0,0.87,0.4019
86,Nude model's Western Wall photo shoot sparks anger https://t.co/vWl2UYkJB0,Thu Jun 28 10:17:24 +0000 2018,86,@BBCWorld,"{'neg': 0.466, 'neu': 0.534, 'pos': 0.0, 'compound': -0.7269}",0.0,0.466,0.534,-0.7269
87,Australia passes foreign interference laws amid China tension https://t.co/PYnjkxM0tp,Thu Jun 28 09:54:34 +0000 2018,87,@BBCWorld,"{'neg': 0.223, 'neu': 0.777, 'pos': 0.0, 'compound': -0.3182}",0.0,0.223,0.777,-0.3182
88,US-Israeli teen convicted of threats against Jewish centres https://t.co/o3tDvQvfqm,Thu Jun 28 09:49:35 +0000 2018,88,@BBCWorld,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.4215}",0.0,0.259,0.741,-0.4215
89,"RT @BBCSport: A blow for #BEL...

Striker Romelu Lukaku has been ruled out of tonight's #WorldCup game against #ENG.

👉 https://t.co/OgfO26…",Thu Jun 28 09:22:18 +0000 2018,89,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
90,Australia charges former officer in East Timor spy case https://t.co/L7SDzR8C6p,Thu Jun 28 09:18:26 +0000 2018,90,@BBCWorld,"{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.2732}",0.0,0.189,0.811,-0.2732
91,"RT @BBCNews: Prince William is expected to visit his great-grandmother's grave in Jerusalem.

She was Princess Alice of Greece, who helped…",Thu Jun 28 09:12:56 +0000 2018,91,@BBCWorld,"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.3818}",0.0,0.115,0.885,-0.3818
92,Two dead as private plane crashes in Mumbai https://t.co/6cbY1Yc6xs,Thu Jun 28 09:04:10 +0000 2018,92,@BBCWorld,"{'neg': 0.35, 'neu': 0.65, 'pos': 0.0, 'compound': -0.6486}",0.0,0.35,0.65,-0.6486
93,"RT @BBCClick: How do you make storing energy more efficient? One company thinks a ""gravity train"" could provide the answer. Watch here. htt…",Thu Jun 28 08:39:55 +0000 2018,93,@BBCWorld,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.6361}",0.206,0.0,0.794,0.6361
94,France's Macron brings back national service https://t.co/T3rCFVlezH,Thu Jun 28 07:43:13 +0000 2018,94,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
95,Are trade issues spoiling the Trump-Modi bromance? https://t.co/ft6orBQO5Q,Thu Jun 28 07:15:50 +0000 2018,95,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
96,Europe migrants: Disputes make EU summit a key test https://t.co/LKzJq6deVy,Thu Jun 28 07:06:18 +0000 2018,96,@BBCWorld,"{'neg': 0.208, 'neu': 0.792, 'pos': 0.0, 'compound': -0.2732}",0.0,0.208,0.792,-0.2732
97,"RT @BBCSport: England's last group stage match tonight! #WorldCup

Watch, read and listen with @BBCSport and @5LiveSport:

15:00 #JPN v #PO…",Thu Jun 28 07:04:06 +0000 2018,97,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
